"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"DESIGNER";"HEIGHT";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MAXIMUM_PACKAGE_HEIGHT";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"PARTREV";"PROD_ID";"STANDARD";"VALUE";"VERSION";
"7";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"C1, C2, C3, C4, C5, C13, C17";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"0.1uF";"";
"2";"1.0uF";"1.0UF-0603-16V-10%";"0603";"C15, C16";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-00868";"";"1.0uF";"";
"7";"10";"10OHM-0603-1/10W-1%";"0603";"R6, R7, R8, R9, R10, R27, R28";"10Ω resistor";"";"";"";"";"";"";"";"";"";"";"RES-12581";"";"10";"";
"2";"10";"10OHM-0603-1/10W-5%";"0603";"R5, R14";"10Ω resistor";"";"";"";"";"";"";"";"";"";"";"RES-09834";"";"10";"";
"7";"100k";"100KOHM-0603-1/10W-1%";"0603";"R11, R12, R13, R15, R17, R24, R25";"100kΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-07828";"";"100k";"";
"10";"10k";"10KOHM-0603-1/10W-1%";"0603";"R1, R2, R3, R4, R18, R19, R20, R21, R22, R23";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";"";
"2";"10uF";"10UF-0603-6.3V-20%";"0603@1";"C14, C21";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-11015";"";"10uF";"";
"1";"1k";"1KOHM-0603-1/10W-1%";"0603";"R16";"1kΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-07856";"";"1k";"";
"1";"AP2112K-1.8V";"V_REG_LDOSMD";"SOT23-5";"U4";"Voltage Regulator LDO";"";"";"";"";"";"";"";"";"";"";"VREG-12457";"";"";"";
"1";"BMP581";"BMP581";"BMP581";"U3";"Pressure Sensor 4.35PSI ~ 18.13PSI (30kPa ~ 125kPa) Absolute 10-WFLGA";"Pressure Sensor 4.35PSI ~ 18.13PSI (30kPa ~ 125kPa) Absolute 10-WFLGA";"";"0.8mm";"";"BOSCH";"BMP581";"";"262-BMP581";"https://www.mouser.co.uk/ProductDetail/Bosch-Sensortec/BMP581?qs=Li%252BoUPsLEntPL9tlFmcgXg%3D%3D";"";"";"";"";"";
"5";"BSS138";"SPARKFUN_MOSFET-NCHANNELSMD";"SPARKFUN_SOT23-3";"Q1, Q2, Q3, Q4, Q5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"FRAME1";"Schematic Frame - Letter";"";"Nobody";"";"";"";"";"";"";"";"";"";"";"";"v01";
"1";"Header";"CONN_09";"1X09";"J1";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ICM-20948";"ICM-20948";"QFN40P300X300X105-24N";"U1";"Accelerometer, Gyroscope, Magnetometer, 9 Axis Sensor I²C, SPI Output";"";"";"";"TDK InvenSense";"";"";"1.05 mm";"";"";"1.3";"";"IPC 7351B";"";"";
"2";"JUMPER-SMT_2_NC_PASTE_SILK";"JUMPER-SMT_2_NC_PASTE_SILK";"SMT-JUMPER_2_NC_PASTE_SILK";"P_DWN_EN, P_UP_EN";"Normally closed solder jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LED ENABLE";"JUMPER-SMT_2_NC_PASTE_SILK";"SMT-JUMPER_2_NC_PASTE_SILK";"LED_ENABLE";"Normally closed solder jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"RED";"LED-RED0603";"LED-0603";"D1";"Assorted Red LEDs";"";"";"";"";"";"";"";"";"";"";"DIO-00819";"";"RED";"";
