"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"CUI_PURCHASE_URL";"DESCRIPTION";"DESIGNER";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"PACKAGE";"PRICE";"PROD_ID";"PURCHASE-URL";"VALUE";"VERSION";
"5";"0";"0OHM-0603-1/10W-5%";"0603";"R19, R20, R21, R22, R23";"0Ω resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-08609";"";"0";"";
"3";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"C11, C13, C17";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"0.1uF";"";
"2";"0.22uF";"0.22UF-0603-25V-10%";"0603";"C1, C2";"0.22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-07822";"";"0.22uF";"";
"3";"1.0uF";"1.0UF-0603-16V-10%";"0603";"C10, C15, C16";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00868";"";"1.0uF";"";
"6";"10";"10OHM-0603-1/10W-1%";"0603";"R5, R6, R7, R8, R9, R10";"10Ω resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-12581";"";"10";"";
"1";"100";"100OHM-0603-1/4W-5%";"0603";"R18";"100Ω resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-12438";"";"100";"";
"6";"100k";"100KOHM-0603-1/10W-1%";"0603";"R11, R12, R13, R14, R15, R17";"100kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07828";"";"100k";"";
"4";"10pF";"10PF-0603-50V-5%";"0603";"C3, C4, C6, C7";"10pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-11812";"";"10pF";"";
"6";"10uF";"10UF-0603-6.3V-20%";"0603";"C9, C12, C14, C19, C20, C21";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-11015";"";"10uF";"";
"1";"1k";"1KOHM-0603-1/10W-1%";"0603";"R16";"1kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07856";"";"1k";"";
"1";"1nF";"1.0NF/1000PF-0603-50V-10%";"0603";"C18";"1nF/1,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-07886";"";"1nF";"";
"1";"2.2nF";"2.2NF/2200PF-0603-50V-10%";"0603";"C8";"2.2nF/2,200pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-07877";"";"2.2nF";"";
"1";"324k";"330KOHM-0603-1/10W-1%";"0603";"R4";"330kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-08968";"";"330k";"";
"3";"47nF";"47NF-0603-25V-5%";"0603";"C22, C23, C24";"47nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08605";"";"47nF";"";
"1";"47pF";"47PF-0603-50V-5%";"0603";"C5";"47pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08913";"";"47pF";"";
"3";"51k";"47KOHM-0603-1/10W-1%";"0603";"R1, R2, R3";"47kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07871";"";"47k";"";
"1";"AP2112K-1.8V";"V_REG_LDOSMD";"SOT23-5";"U4";"Voltage Regulator LDO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"VREG-12457";"";"";"";
"1";"ECGC";"TEST-POINT3";"PAD.03X.03";"ECGC";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"7";"ESD7551N2T5G";"ESD7551N2T5G";"ESD7551N2T5G";"D2, D3, D4, D5, D6, D7, D8";"ESD Suppressors / TVS Diodes BI-DIRECTIONAL 5V ESD PR";"";"";"";"";"ESD Suppressors / TVS Diodes BI-DIRECTIONAL 5V ESD PR";"";"0.4mm";"onsemi";"ESD7551N2T5G";"";"863-ESD7551N2T5G";"https://www.mouser.co.uk/ProductDetail/onsemi/ESD7551N2T5G?qs=5aG0NVq1C4x8NutXGbtG6w%3D%3D";"";"";"";"";"";"";"";
"1";"FCLK";"TEST-POINT3";"PAD.03X.03";"FCLK";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"FRAME1";"Schematic Frame - Letter";"";"";"";"";"";"Nobody";"";"";"";"";"";"";"";"";"";"";"";"";"v01";
"1";"Header";"CONN_08"";"1X08";"J1";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-08438";"";"";"";
"2";"JUMPER-SMT_2_NC_PASTE_SILK";"JUMPER-SMT_2_NC_PASTE_SILK";"SMT-JUMPER_2_NC_PASTE_SILK";"P_DWN_ENABLE, P_UP_ENABLE";"Normally closed solder jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11";"JUMPER-SMT_2_NO_SILK";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"BP_BN, DN_BN, DP_BP, EC_UNBAL, EN_BN, EN_UNBAL, EP_BP, EP_EN, EP_UNBAL, RBN, RBP";"Normally open jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LED ENABLE";"JUMPER-SMT_2_NC_PASTE_SILK";"SMT-JUMPER_2_NC_PASTE_SILK";"LED_ENABLE";"Normally closed solder jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MAX30001GCWV+";"MAX30001GCWV+";"BGA30C50P6X5_293X274X69";"IC1";"MAXIM INTEGRATED / ANALOG DEVICES - MAX30001GCWV+ - 1 LEAD ECG & BIOZ AFE";"";"";"";"";"MAXIM INTEGRATED / ANALOG DEVICES - MAX30001GCWV+ - 1 LEAD ECG & BIOZ AFE";"";"0.69mm";"Analog Devices";"MAX30001GCWV+";"";"700-MAX30001GCWV+";"https://www.mouser.co.uk/ProductDetail/Analog-Devices-Maxim-Integrated/MAX30001GCWV%2b?qs=Rp5uXu7WBW%2FLfomdQH9F5g%3D%3D";"";"";"";"";"";"";"";
"1";"RED";"LED-RED0603";"LED-0603";"D1";"Assorted Red LEDs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-00819";"";"RED";"";
"3";"SJ-3523-SMT-TR";"SJ-3523-SMT-TR";"CUI_SJ-3523-SMT-TR";"DRV, ECG, IMPEDANCE";"Audio Jack Connector 3.5 mm Low Profile Surface Mount Stereo Jack, 3 Pin Right-Angle Check availability";"";"";"In Stock";"https://www.cuidevices.com/product/interconnect/connectors/audio-connectors/jacks/sj-352x-smt-series?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM";" 3.5 mm, Stereo, Right Angle, Surface Mount (SMT), 3 Conductors, 0~1 Internal Switches, Audio Jack Connector ";"";"";"";"";"CUI Devices";"";"";"SJ-3523-SMT-TR";"None";"None";"";"https://pricing.snapeda.com/search/part/SJ-3523-SMT-TR/?ref=eda";"";"";
"7";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"AOUT, BIN, BIP, DRVN, DRVP, ECGN, ECGP";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
