C1, 42.75, 40.00, 90.00, 10uF, 0603
C10, 28.20, 38.84, 90.00, 18pF, 0603
C11, 25.81, 57.38, 180.00, 100nF, 0603
C12, 25.81, 58.94, 180.00, 10uF, 0603
C13, 25.23, 45.53, 180.00, 10uF, 0603
C14, 26.48, 30.13, 180.00, 10uF, 0603
C15, 33.80, 32.90, 270.00, 2.2uF, 0603
C2, 41.07, 35.05, 270.00, 10uF, 0603
C3, 41.05, 40.00, 90.00, 1uF, 0603
C4, 42.70, 35.05, 270.00, 0.1uF, 0603
C5, 29.90, 33.10, 90.00, 10nF, 0603
C6, 35.30, 32.91, 270.00, 2.2uF, 0603
C7, 25.23, 44.04, 180.00, 0.1uF, 0603
C8, 26.48, 31.66, 180.00, 0.1uF, 0603
C9, 28.24, 35.32, 270.00, 18pF, 0603
D1, 63.70, 61.15, 270.00, RED, LED-0603
D4, 41.00, 14.05, 90.00, , SOT323
D6, 36.90, 14.00, 270.00, , SOT323
D7, 33.60, 14.00, 90.00, , SOT323
D8, 28.45, 14.00, 270.00, , SOT323
IC1, 33.00, 38.15, 90.00, AFE4400RHAR, QFN50P600X600X100-41N
L1, 45.20, 40.55, 270.00, LBC3225T100KR, INDC3225X270N
L2, 45.20, 34.50, 90.00, LBC3225T100KR, INDC3225X270N
L3, 25.90, 47.85, 0.00, LBC3225T100KR, INDC3225X270N
L4, 26.00, 27.75, 0.00, LBC3225T100KR, INDC3225X270N
LED_DISABLE, 66.59, 61.15, 180.00, JUMPER-SMT_2_NC_TRACE_SILK, SMT-JUMPER_2_NC_TRACE_SILK
OSC, 25.73, 37.11, 270.00, ABM3-8.000MHZ-D2Y-T, ABM3
R1, 32.30, 32.90, 90.00, 1k, 0603
R10, 36.83, 61.24, 90.00, 10R, 0603
R11, 34.16, 61.24, 90.00, 10R, 0603
R12, 52.00, 61.24, 90.00, 10R, 0603
R13, 31.67, 61.24, 90.00, 10R, 0603
R16, 60.62, 61.15, 180.00, 1k, 0603
R2, 44.47, 61.24, 90.00, 10R, 0603
R3, 28.73, 42.45, 180.00, 10R, 0603
R4, 28.70, 44.05, 180.00, 10k, 0603
R5, 29.21, 61.24, 90.00, 10R, 0603
R6, 46.99, 61.24, 90.00, 10R, 0603
R7, 49.46, 61.24, 90.00, 10R, 0603
R8, 41.91, 61.24, 90.00, 10R, 0603
R9, 39.37, 61.24, 90.00, 10R, 0603
TP2, 26.78, 42.44, 0.00, TEST-POINT3, PAD.03X.03
