C1, 52.75, 27.25, 180.00, 4.7uF, 0603
C2, 56.90, 31.40, 180.00, 10uF, 0603
C3, 56.90, 29.85, 180.00, 0.1uF, 0603
C4, 48.50, 32.50, 0.00, 1.0uF, 0603
C5, 48.35, 22.50, 180.00, 27pF, 0603
C6, 52.50, 20.75, 180.00, 4.7uF, 0603
C8, 48.35, 16.00, 180.00, 27pF, 0603
D1, 65.25, 61.90, 270.00, RED, LED-0603
LED_DISABLE, 67.50, 61.90, 180.00, JUMPER-SMT_2_NC_TRACE_SILK, SMT-JUMPER_2_NC_TRACE_SILK
LS1, 57.25, 26.25, 0.00, AMM-2742-T-R, AMM2742TR
LS2, 57.25, 19.75, 0.00, AMM-2742-T-R, AMM2742TR
R1, 52.75, 25.50, 180.00, 4.7k, 0603
R16, 62.35, 61.90, 180.00, 1k, 0603
R2, 48.50, 29.50, 0.00, 10k, 0603
R3, 48.50, 31.00, 180.00, 10k, 0603
R4, 48.35, 24.05, 180.00, 300k, 0603
R5, 52.50, 19.00, 180.00, 4.7k, 0603
R8, 48.35, 17.50, 180.00, 300k, 0603
U$1, 48.50, 26.50, 270.00, OPA344, SOT23-5
U$2, 48.50, 19.95, 270.00, OPA344, SOT23-5
