C1, 47.75, 27.25, 180.00, 4.7uF, 0603
C10, 14.30, 17.60, 180.00, 0.1uF, 0603
C11, 24.50, 17.60, 0.00, 0.1uF, 0603
C12, 24.55, 27.35, 0.00, 0.1uF, 0603
C13, 21.25, 27.35, 0.00, 0.1uF, 0603
C14, 21.25, 29.00, 0.00, 10uF, 0603
C15, 24.55, 29.00, 0.00, 10uF, 0603
C16, 14.30, 16.00, 180.00, 10uF, 0603
C17, 17.75, 16.00, 0.00, 10uF, 0603
C18, 21.15, 16.00, 0.00, 10uF, 0603
C19, 24.50, 16.00, 0.00, 10uF, 0603
C2, 51.90, 31.40, 180.00, 0.1uF, 0603
C20, 14.30, 25.45, 180.00, 10uF, 0603
C21, 24.55, 22.25, 0.00, 1.0uF, 0603
C22, 24.55, 20.75, 0.00, 1.0uF, 0603
C23, 14.30, 23.95, 0.00, 1.0uF, 0603
C24, 14.30, 22.45, 0.00, 1.0uF, 0603
C25, 14.30, 19.15, 180.00, GRM188R60J476ME15D, CAPC1608X100N
C26, 14.30, 20.75, 180.00, GRM188R60J476ME15D, CAPC1608X100N
C27, 24.55, 19.18, 0.00, 1.0uF, 0603
C28, 5.15, 52.30, 0.00, 0.1uF, 0603
C29, 5.15, 53.90, 0.00, 10uF, 0603
C3, 51.90, 29.85, 180.00, 10uF, 0603
C30, 4.70, 43.60, 0.00, 1nF, 0603
C4, 44.15, 31.80, 0.00, 1.0uF, 0603
C5, 44.15, 27.25, 180.00, 27pF, 0603
C6, 47.50, 20.75, 180.00, 4.7uF, 0603
C7, 21.15, 17.60, 0.00, 0.1uF, 0603
C8, 44.15, 18.25, 180.00, 27pF, 0603
C9, 17.75, 17.60, 0.00, 0.1uF, 0603
D1, 65.25, 61.65, 270.00, RED, LED-0603
IC1, 19.50, 22.50, 270.00, ES8388, QFN45P400X400X90-29N
IC2, 44.25, 22.75, 90.00, TLV9002IDDFR, SOT65P280X110-8N
J1, 26.50, 7.10, 90.00, SJ-3523-SMT-TR, CUI_SJ-3523-SMT-TR
J3, 13.65, 8.05, 90.00, SJ2-3574A-SMT-TR, CUI_SJ2-3574A-SMT-TR
LED_DISABLE, 67.50, 61.65, 180.00, JUMPER-SMT_2_NC_TRACE_SILK, SMT-JUMPER_2_NC_TRACE_SILK
LS1, 52.25, 26.25, 0.00, AMM-2742-T-R, AMM2742TR
LS2, 52.25, 19.75, 0.00, AMM-2742-T-R, AMM2742TR
R1, 47.75, 25.50, 180.00, 4.7k, 0603
R10, 15.65, 28.25, 270.00, 33, 0603
R11, 14.10, 28.25, 270.00, 33, 0603
R12, 24.55, 23.90, 180.00, 10k, 0603
R13, 14.00, 63.25, 180.00, 10k, 0603
R14, 14.00, 61.75, 180.00, 10k, 0603
R15, 10.00, 46.60, 180.00, 33, 0603
R16, 62.35, 61.65, 180.00, 1k, 0603
R17, 10.00, 48.20, 180.00, 33, 0603
R2, 44.15, 28.80, 0.00, 10k, 0603
R3, 44.15, 30.30, 180.00, 10k, 0603
R4, 44.15, 25.70, 180.00, 300k, 0603
R5, 47.50, 19.00, 180.00, 4.7k, 0603
R6, 24.55, 25.45, 180.00, 33, 0603
R7, 18.85, 28.25, 270.00, 33, 0603
R8, 44.15, 19.75, 180.00, 300k, 0603
R9, 17.25, 28.25, 270.00, 33, 0603
U1, 4.75, 48.00, 90.00, MPRLS0300YG00001B, MPRLS0300YG00001B
